HON. IBRAHIM BABANGIDA, All Progressives Congress, KATSINA
HON. SALISU SALISCO, All Progressives Congress, KATSINA
HON. AHMED B KAITA, All Progressives Congress, KATSINA
HON. SHIEK UMAR ABUBAKAR, All Progressives Congress, KATSINA
HON. SALISU ADO DAURA, All Progressives Congress, KATSINA
HON. ISA LAWAL DORO, All Progressives Congress, KATSINA
HON. SANI BELLO MASHI, All Progressives Congress, KATSINA
HON. ABBAS MACHIKA, All Progressives Congress, KATSINA
HON. MANSUR FUNTUA, All Progressives Congress, KATSINA
HON. GARBA MUSA GULMA, Peoples Democratic Party, KEBBI
HON. IBRAHIM BAWA KAMBA, Peoples Democratic Party, KEBBI
HON. KALGO SANI UMAR MOHAMMED, Peoples Democratic Party, KEBBI
HON. AMINU KOKO MUSA, Peoples Democratic Party, KEBBI
HON. ABDULLAHI MOHAMMED DAN-ALKALI, Peoples Democratic Party, KEBBI
HON. GARBA UMAR UBA, Peoples Democratic Party, KEBBI
HON. UMAR HALILU ALIERO, Peoples Democratic Party, KEBBI
HON. BELLO KAOJE A., Peoples Democratic Party, KEBBI
HON. TOM OGIJO ZAKARI, Peoples Democratic Party, KOGI
HON. MOHAMMED IBRAHIM IDRIS, Peoples Democratic Party, KOGI
HON. AYO TAJUDEEN YUSUF, Peoples Democratic Party, KOGI
HON. SUNDAY STEVE KARIM, Peoples Democratic Party, KOGI
HON. AHMED YUSUF TIJANI, Peoples Democratic Party, KOGI
HON. ISMAIL INAH HUSSAIN, Peoples Democratic Party, KOGI
HON. ABDULRAHAMAN BADAMASUIY, Peoples Democratic Party, KOGI
HON. UMAR BUBA JIBRIL , Peoples Democratic Party, KOGI
HON. SADIQ ASEMA MOHAMMED, Peoples Democratic Party, KOGI
HON. ALIYU BAHAGO AHMAN PATEGI, All Progressives Congress, KWARA
HON. MASHOOD MUSTAPHA, All Progressives Congress, KWARA
HON. ALI B. AHMAD, All Progressives Congress, KWARA
HON. MOHAMMED ZAKARI, All Progressives Congress, KWARA
HON. RAFIU ADEBAYO IBRAHIM, All Progressives Congress, KWARA
HON. AIYEDUN OLAYINKA AKEEM, All Progressives Congress, KWARA
HON. AYODEJI LABIB JAKANDE, All Progressives Congress, LAGOS
HON. FEMI GBAJABIAMILA, All Progressives Congress, LAGOS
HON. ABAYOMI DAUDA KAKO ARE, All Progressives Congress, LAGOS
HON. RAFEEQUAT ARINOLA ONABAMIRO, All Progressives Congress, LAGOS
HON. ABIKE DABIRI-EREWA, All Progressives Congress, LAGOS
HON. MORUF AKINDERU FATAI, All Progressives Congress, LAGOS
HON. HAMZAT GANIYU OLADUNJOYE, All Progressives Congress, LAGOS
HON. MONSURU ALAO OWOLABI, All Progressives Congress, LAGOS
HON. OLAJUMOKE OKOYA-THOMAS, All Progressives Congress, LAGOS
HON. YACOOB EKUNDAYO A. AJEBIOSU, All Progressives Congress, LAGOS
HON. OLUKOLU GANIYU TUNJI, All Progressives Congress, LAGOS
HON. HAKEEM ABIODUN MUNIRU, All Progressives Congress, LAGOS
HON. HAZEEZ BABAJIDE AKINLOYE, All Progressives Congress, LAGOS
HON. SOLOMON OLAMILEKAN ADEOLA, All Progressives Congress, LAGOS
HON. ALLIU BABATUNDE KAZEEM, All Progressives Congress, LAGOS
HON. JIMOH ADEWALE BABATUNDE, All Progressives Congress, LAGOS
HON. FALAKE JAMES ABIODUN, All Progressives Congress, LAGOS
