HON. REYEMEJU DANIEL ORITSEGBUBEMI,Delta,Warri North/Warri South/Warri West,(Federal Constituency),Peoples Democratic Party
HON. OGOR LEONARD  OKUWEH,Delta,Isoko North/Isoko South,(Federal Constituency),Peoples Democratic Party
HON. EBOMO MUTU   NICHOLAS,Delta,Bomadi/Patani,(Federal Constituency),Peoples Democratic Party
HON. ELUMELU NDUDI  GODWIN,Delta,Aniocha North/Aniocha South/Oshimili North/Oshimili South,(Federal Constituency),Peoples Democratic Party
HON. OBORO EVELYN OMAVOWAN,Delta,Okpe/ Sapele/ Uvwie,(Federal Constituency),Peoples Democratic Party
HON. FRANCIS ENEKOROGHA PENAWEI,Delta,Burutu,(Federal Constituency),Peoples Democratic Party
HON. OSSAI OSSAI NICHOLAS,Delta,NDOKWA WEST/ UTAGBA-OGBE,(Federal Constituency),Peoples Democratic Party
HON. TOBIAS OKWURU CHUKWUEMEKA,Ebonyi,IKwo / Ezza South,(Federal Constituency),Peoples Democratic Party
HON. OKORIE LINUS,Ebonyi,Ohaozara/Onicha/Ivo,(Federal Constituency),Peoples Democratic Party
HON. ISU  OMO CHRISTOPHER,Ebonyi,Afikpo North/Afikpo South,(Federal Constituency),Peoples Democratic Party
HON. OGBAGA  SYLVESTER  O,Ebonyi,Abakaliki/Izzi,(Federal Constituency),Peoples Democratic Party
HON. ALI PETER OGE,Ebonyi,Ebonyi/Ohaukwu,(Federal Constituency),Peoples Democratic Party
HON. OYEMAECHI PETER EDEH,Ebonyi,Ezza North/Ishelu,(Federal Constituency),All Progressives Congress
HON. ADUN JIM AIKU,Edo,Egor / Ikpoba-Okha,(Federal Constituency),All Progressives Congress
HON. IRIASE PALLY ISUMAFE OBOKHUAIME,Edo,Owan East / West,(Federal Constituency),All Progressives Congress
HON. AKPATASON  PETER OHIOZOJEH,Edo,Akoko-Edo,(Federal Constituency),All Progressives Congress
HON. OSAHON NOSAKHARE ISAAC,Edo,Ovia Federal Constituency,(Federal Constituency),All Progressives Congress
HON. MOMOH ABUBAKAR ESHIOKPEK,Edo,Etsako,(Federal Constituency),All Progressives Congress
HON. BELLO-OSAGIE RAZAQ,Edo,Oredo,(Federal Constituency),All Progressives Congress
HON. IKHARIALE PATRICK A.,Edo,"Esan Central, Esan West, Igueben",(Federal Constituency),Peoples Democratic Party
HON. ITULAH FRIDAY,Edo,Esan North East/South West,(Federal Constituency),Peoples Democratic Party
